Processor,Description
"AMD Ryzen 5 PRO 8640HS(33%)22,041NA","AMD Ryzen 5 PRO 8640HS


Description: w/ Radeon 760M Graphics


Class: Desktop, Laptop, Server
Socket: FP7 FP7r2
Clockspeed: 3.5 GHzTurbo Speed: 4.9 GHzCores: 6 Threads: 12Typical TDP: 28 WTDP Down: 20 WTDP Up: 30 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 32 KBL2 Cache: 6 x 1024 KBL3 Cache: 16 MB


Other names: AMD Ryzen 5 PRO 8640HS w/ Radeon 760M Graphics
CPU First Seen on Charts: Q2 2024
CPUmark/$Price: NA
Overall Rank:
563rd fastest in multithreading out of 4854 CPUs175th fastest in single threading out of 4854 CPUs187th fastest in out of 1382 Desktop CPUs99th fastest in out of 1421 Laptop CPUs301st fastest in out of 1033 Server CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
22041 Single Thread Rating
3735
 Samples: 2*
					
					*Margin for error: High


+ Compare"
"Apple M2 Pro 10 Core 3480 MHz(32%)21,729NA","Apple M2 Pro 10 Core 3480 MHz


Description: 


Class: Desktop, Laptop
Socket: 
Clockspeed: 3.5 GHzCores: 10 Threads: 10


Other names: ARM Apple M2 Pro 10 Core 0 MHz
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: NA
Overall Rank:
576th fastest in multithreading out of 4854 CPUs65th fastest in single threading out of 4854 CPUs195th fastest in out of 1382 Desktop CPUs103rd fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
21729 Single Thread Rating
4101
 Samples: 616*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 5 PRO 7640U(31%)21,287NA","AMD Ryzen 5 PRO 7640U


Description: w/ Radeon 760M Graphics


Class: Desktop, Laptop
Socket: FP7 FP7r2 FP8
Clockspeed: 3.5 GHzTurbo Speed: 4.9 GHzCores: 6 Threads: 12Typical TDP: 28 WTDP Down: 15 WTDP Up: 30 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 32 KBL2 Cache: 6 x 1024 KBL3 Cache: 16 MB


Other names: AMD Ryzen 5 PRO 7640U w/ Radeon 760M Graphics
CPU First Seen on Charts: Q3 2024
CPUmark/$Price: NA
Overall Rank:
588th fastest in multithreading out of 4854 CPUs180th fastest in single threading out of 4854 CPUs199th fastest in out of 1382 Desktop CPUs106th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
21287 Single Thread Rating
3726
 Samples: 1*
					
					*Margin for error: High


+ Compare"
"AMD Ryzen 7 7735U(31%)21,220NA","AMD Ryzen 7 7735U


Description: AMD Radeon 680M


Class: Laptop
Socket: FP7
Clockspeed: 2.7 GHzTurbo Speed: 4.8 GHzCores: 8 Threads: 16Typical TDP: 28 W
Cache per CPU Package:L1 Instruction Cache: 8 x 32 KBL1 Data Cache: 8 x 32 KBL2 Cache: 8 x 512 KBL3 Cache: 16 MB


Other names: AMD Ryzen 7 7735U with Radeon Graphics
CPU First Seen on Charts: Q2 2023
CPUmark/$Price: NA
Overall Rank:
590th fastest in multithreading out of 4854 CPUs371st fastest in single threading out of 4854 CPUs107th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
21220 Single Thread Rating
3283
 Samples: 147*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 5 7640U(31%)21,193NA","AMD Ryzen 5 7640U


Description: w/ Radeon 760M Graphics


Class: Laptop
Socket: FP7 FP7r2 FP8
Clockspeed: 3.5 GHzTurbo Speed: 4.9 GHzCores: 6 Threads: 12Typical TDP: 28 WTDP Down: 15 WTDP Up: 30 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 32 KBL2 Cache: 6 x 1024 KBL3 Cache: 16 MB


Other names: AMD Ryzen 5 7640U w/ Radeon 760M Graphics
CPU First Seen on Charts: Q3 2023
CPUmark/$Price: NA
Overall Rank:
592nd fastest in multithreading out of 4854 CPUs262nd fastest in single threading out of 4854 CPUs109th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
21193 Single Thread Rating
3510
 Samples: 33*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 5 8640U(31%)20,772NA","AMD Ryzen 5 8640U


Description: w/ Radeon 760M Graphics


Class: Desktop, Laptop
Socket: FP7 FP7r2 FP8
Clockspeed: 3.5 GHzTurbo Speed: 4.9 GHzCores: 6 Threads: 12Typical TDP: 28 WTDP Down: 12 WTDP Up: 30 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 32 KBL2 Cache: 6 x 1024 KBL3 Cache: 16 MB


Other names: AMD Ryzen 5 8640U w/ Radeon 760M Graphics
CPU First Seen on Charts: Q2 2024
CPUmark/$Price: NA
Overall Rank:
613th fastest in multithreading out of 4854 CPUs269th fastest in single threading out of 4854 CPUs207th fastest in out of 1382 Desktop CPUs115th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
20772 Single Thread Rating
3483
 Samples: 7*
					
					*Margin for error: Medium


+ Compare"
"Intel Core i7-12650HX(30%)20,612$472.00*","Intel Core i7-12650HX


Description: Intel UHD Graphics for 12th Gen Intel Processors


Class: Laptop, Mobile/Embedded
Socket: FCBGA1964


Total Cores: 14 Cores, 20 Threads
Performance Cores: 6 Cores, 12 Threads, 2.0 GHz Base, 4.7 GHz Turbo
Efficient Cores: 8 Cores, 8 Threads, 1.5 GHz Base, 3.3 GHz Turbo

Typical TDP: 55 WTDP Down: 45 WTDP Up: 157 W
Cache per CPU Package:L1 Instruction Cache: 10 x 32 KBL1 Data Cache: 10 x 64 KBL2 Cache: 2 x 2048 KBL3 Cache: 24 MB
Memory Support: Max. Memory Size: 128 GB (Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s)


Other names: 12th Gen Intel(R) Core(TM) i7-12650HX
CPU First Seen on Charts: Q3 2024
CPUmark/$Price: 43.67
Overall Rank:
621st fastest in multithreading out of 4854 CPUs875th fastest in single threading out of 4854 CPUs116th fastest in out of 1421 Laptop CPUs17th fastest in out of 1021 Mobile/Embedded CPUs 
Last Price Change: $472.00 USD (2022-04-01)




Average CPU Mark


Multithread Rating
20612 Single Thread Rating
2457
 Samples: 1*
					
					*Margin for error: High


+ Compare"
"Intel Core i7-1370P(30%)20,142NA","Intel Core i7-1370P


Description: Intel Iris Xe Graphics eligible


Class: Laptop
Socket: FCBGA1744


Total Cores: 14 Cores, 20 Threads
Performance Cores: 6 Cores, 12 Threads, 1.9 GHz Base, 5.2 GHz Turbo
Efficient Cores: 8 Cores, 8 Threads, NA Base, 3.9 GHz Turbo

Typical TDP: 28 WTDP Down: 20 WTDP Up: 64 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 48 KBL2 Cache: 6 x 1280 KBL3 Cache: 24 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 8 x 64 KBEff. L1 Data Cache: 8 x 32 KBEff. L2 Cache: 2 x 2048 KB


Other names: 13th Gen Intel(R) CoreT i7-1370P, 13th Gen Intel(R) Core(TM) i7-1370P, 13th Gen Intel Core i7-1370P
CPU First Seen on Charts: Q4 2022
CPUmark/$Price: NA
Overall Rank:
644th fastest in multithreading out of 4854 CPUs249th fastest in single threading out of 4854 CPUs124th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
20142 Single Thread Rating
3537
 Samples: 329*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 7 Pro 7735U(29%)19,756NA","AMD Ryzen 7 Pro 7735U


Description: AMD Radeon 680M


Class: Laptop
Socket: FP7
Clockspeed: 2.7 GHzTurbo Speed: 4.8 GHzCores: 8 Threads: 16Typical TDP: 28 WTDP Down: 15 WTDP Up: 30 W
Cache per CPU Package:L1 Instruction Cache: 8 x 32 KBL1 Data Cache: 8 x 32 KBL2 Cache: 8 x 512 KBL3 Cache: 16 MB


Other names: AMD Ryzen 7 Pro 7735U with Radeon Graphics
CPU First Seen on Charts: Q1 2024
CPUmark/$Price: NA
Overall Rank:
656th fastest in multithreading out of 4854 CPUs406th fastest in single threading out of 4854 CPUs126th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
19756 Single Thread Rating
3212
 Samples: 30*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 5 8640HS(29%)19,512NA","AMD Ryzen 5 8640HS


Description: w/ Radeon 760M Graphics


Class: Desktop, Laptop
Socket: FP7 , FP7r2 , FP
Clockspeed: 3.5 GHzTurbo Speed: 4.9 GHzCores: 6 Threads: 12Typical TDP: 28 WTDP Down: 20 WTDP Up: 30 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 32 KBL2 Cache: 6 x 1024 KBL3 Cache: 16 MB


Other names: AMD Ryzen 5 8640HS w/ Radeon 760M Graphics
CPU First Seen on Charts: Q2 2024
CPUmark/$Price: NA
Overall Rank:
666th fastest in multithreading out of 4854 CPUs237th fastest in single threading out of 4854 CPUs224th fastest in out of 1382 Desktop CPUs127th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
19512 Single Thread Rating
3556
 Samples: 9*
					
					*Margin for error: Medium


+ Compare"
"Intel Core Ultra 7 258V(29%)19,493NA","Intel Core Ultra 7 258V


Description: Intel Arc Graphics 140V


Class: Laptop
Socket: FCBGA2833


Total Cores: 8 Cores, 8 Threads
Performance Cores: 4 Cores, 4 Threads, 3.7 GHz Base, 4.8 GHz Turbo
Efficient Cores: 4 Cores, 4 Threads, 2.2 GHz Base, 3.7 GHz Turbo

Typical TDP: 17 WTDP Down: 8 WTDP Up: 37 W
Cache per CPU Package:L1 Instruction Cache: 4 x 64 KBL1 Data Cache: 4 x 48 KBL2 Cache: 4 x 2560 KBL3 Cache: 12 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 4 x 64 KBEff. L1 Data Cache: 4 x 32 KBEff. L2 Cache: 1 x 4096 KB
Memory Support: Max. Memory Size: 32 GB (LPDDR5X up to 8533 MT/s)


Other names: Intel(R) Core(TM) Ultra 7 258V
CPU First Seen on Charts: Q3 2024
CPUmark/$Price: NA
Overall Rank:
667th fastest in multithreading out of 4854 CPUs93rd fastest in single threading out of 4854 CPUs128th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
19493 Single Thread Rating
3989
 Samples: 5*
					
					*Margin for error: High


+ Compare"
"Apple M3 8 Core(28%)19,325NA","Apple M3 8 Core


Description: 8 and 10 Core GPU


Class: Desktop, Laptop, Mobile/Embedded
Socket: 


Total Cores: 8 Cores, 8 Threads
Primary Cores: 4 Cores, 4 Threads, 4.0 GHz Base, NA Turbo
Secondary Cores: 4 Cores, 4 Threads, NA Base, NA Turbo

Typical TDP: 20 W


Other names: ARM Apple M3 8 Core 0 MHz
CPU First Seen on Charts: Q4 2023
CPUmark/$Price: NA
Overall Rank:
676th fastest in multithreading out of 4854 CPUs2nd fastest in single threading out of 4854 CPUs229th fastest in out of 1382 Desktop CPUs129th fastest in out of 1421 Laptop CPUs23rd fastest in out of 1021 Mobile/Embedded CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
19325 Single Thread Rating
4778
 Samples: 515*
					
					*Margin for error: Low


+ Compare"
"Intel Core i7-1360P(28%)19,187$480.00*","Intel Core i7-1360P


Description: Intel Iris Xe Graphics eligible


Class: Laptop
Socket: FCBGA1744


Total Cores: 12 Cores, 16 Threads
Performance Cores: 4 Cores, 8 Threads, 2.2 GHz Base, 5.0 GHz Turbo
Efficient Cores: 8 Cores, 8 Threads, 1.6 GHz Base, 3.7 GHz Turbo

Typical TDP: 28 WTDP Down: 20 WTDP Up: 64 W
Cache per CPU Package:L1 Instruction Cache: 4 x 32 KBL1 Data Cache: 4 x 48 KBL2 Cache: 4 x 1280 KBL3 Cache: 18 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 8 x 64 KBEff. L1 Data Cache: 8 x 32 KBEff. L2 Cache: 2 x 2048 KB
Memory Support: Max. Memory Size: 64 GB (Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT)


Other names: 13th Gen Intel(R) Core(TM) i7-1360P, 13th Gen Intel Core i7-1360P, 13th Gen Intel(R) CoreT i7-1360P
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: 39.97
Overall Rank:
678th fastest in multithreading out of 4854 CPUs248th fastest in single threading out of 4854 CPUs130th fastest in out of 1421 Laptop CPUs 
Last Price Change: $480.00 USD (2023-01-01)




Average CPU Mark


Multithread Rating
19187 Single Thread Rating
3537
 Samples: 823*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 7 PRO 7730U(28%)19,045NA","AMD Ryzen 7 PRO 7730U


Description: with Radeon Graphics


Class: Laptop
Socket: 
Clockspeed: 2.0 GHzTurbo Speed: 4.5 GHzCores: 8 Threads: 16Typical TDP: 15 W
Cache per CPU Package:L1 Instruction Cache: 8 x 32 KBL1 Data Cache: 8 x 32 KBL2 Cache: 8 x 512 KBL3 Cache: 16 MB


Other names: AMD Ryzen 7 PRO 7730U with Radeon Graphics
CPU First Seen on Charts: Q4 2022
CPUmark/$Price: NA
Overall Rank:
684th fastest in multithreading out of 4854 CPUs464th fastest in single threading out of 4854 CPUs132nd fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
19045 Single Thread Rating
3077
 Samples: 80*
					
					*Margin for error: Low


+ Compare"
"Intel Core i5-12450HX(28%)18,994NA","Intel Core i5-12450HX


Description: Intel UHD Graphics for 12th Gen Intel Processors


Class: Laptop
Socket: FCBGA1964


Total Cores: 8 Cores, 12 Threads
Performance Cores: 4 Cores, 8 Threads, NA Base, 4.4 GHz Turbo
Efficient Cores: 4 Cores, 4 Threads, NA Base, 3.1 GHz Turbo

Typical TDP: 148 WTDP Down: 45 WTDP Up: 157 W
Cache per CPU Package:L1 Instruction Cache: 4 x 32 KBL1 Data Cache: 4 x 48 KBL2 Cache: 4 x 1280 KBL3 Cache: 12 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 4 x 64 KBEff. L1 Data Cache: 4 x 32 KBEff. L2 Cache: 1 x 2048 KB
Memory Support: Max. Memory Size: 128 GB (Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s)


Other names: 12th Gen Intel(R) Core(TM) i5-12450HX
CPU First Seen on Charts: Q4 2023
CPUmark/$Price: NA
Overall Rank:
686th fastest in multithreading out of 4854 CPUs291st fastest in single threading out of 4854 CPUs133rd fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
18994 Single Thread Rating
3440
 Samples: 63*
					
					*Margin for error: Low


+ Compare"
"Intel Core i5-1350P(28%)18,913$320.00*","Intel Core i5-1350P


Description: Intel Iris Xe Graphics eligible


Class: Laptop
Socket: FCBGA1744


Total Cores: 12 Cores, 16 Threads
Performance Cores: 4 Cores, 8 Threads, 1.9 GHz Base, 4.7 GHz Turbo
Efficient Cores: 8 Cores, 8 Threads, 1.9 GHz Base, 3.5 GHz Turbo

Typical TDP: 28 WTDP Down: 20 WTDP Up: 64 W
Cache per CPU Package:L1 Instruction Cache: 4 x 32 KBL1 Data Cache: 4 x 48 KBL2 Cache: 4 x 1280 KBL3 Cache: 12 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 8 x 64 KBEff. L1 Data Cache: 8 x 32 KBEff. L2 Cache: 2 x 2048 KB
Memory Support: Max. Memory Size: 64 GB (Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT)


Other names: 13th Gen Intel(R) Core(TM) i5-1350P
CPU First Seen on Charts: Q2 2023
CPUmark/$Price: 59.10
Overall Rank:
692nd fastest in multithreading out of 4854 CPUs221st fastest in single threading out of 4854 CPUs136th fastest in out of 1421 Laptop CPUs 
Last Price Change: $320.00 USD (2023-01-01)




Average CPU Mark


Multithread Rating
18913 Single Thread Rating
3622
 Samples: 81*
					
					*Margin for error: Low


+ Compare"
"Intel Core i5-1340P(28%)18,846$353.00*","Intel Core i5-1340P


Description: Intel Iris Xe Graphics eligible


Class: Laptop
Socket: FCBGA1744


Total Cores: 12 Cores, 16 Threads
Performance Cores: 4 Cores, 8 Threads, 1.9 GHz Base, 4.6 GHz Turbo
Efficient Cores: 8 Cores, 8 Threads, 1.9 GHz Base, 3.4 GHz Turbo

Typical TDP: 28 WTDP Down: 20 WTDP Up: 64 W
Cache per CPU Package:L1 Instruction Cache: 4 x 32 KBL1 Data Cache: 4 x 48 KBL2 Cache: 4 x 1280 KBL3 Cache: 12 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 8 x 64 KBEff. L1 Data Cache: 8 x 32 KBEff. L2 Cache: 2 x 2048 KB
Memory Support: Max. Memory Size: 64 GB (Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT)


Other names: 13th Gen Intel(R) Core(TM) i5-1340P, 13th Gen Intel Core i5-1340P, 13th Gen Intel(R) CoreT i5-1340P
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: 53.39
Overall Rank:
695th fastest in multithreading out of 4854 CPUs255th fastest in single threading out of 4854 CPUs137th fastest in out of 1421 Laptop CPUs 
Last Price Change: $353.00 USD (2023-01-01)




Average CPU Mark


Multithread Rating
18846 Single Thread Rating
3526
 Samples: 375*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 5 7540U(28%)18,708NA","AMD Ryzen 5 7540U


Description: w/ Radeon 740M Graphics


Class: Laptop
Socket: FP7 FP7r2
Clockspeed: 3.2 GHzTurbo Speed: 4.9 GHzCores: 6 Threads: 12Typical TDP: 28 WTDP Down: 15 WTDP Up: 30 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 32 KBL2 Cache: 6 x 1024 KBL3 Cache: 16 MB


Other names: AMD Ryzen 5 7540U w/ Radeon 740M Graphics, AMD Ryzen 5 7540U w/ Radeon(TM) 740M Graphics, AMD Ryzen 5 7540U with Radeon 740M Graphics
CPU First Seen on Charts: Q2 2023
CPUmark/$Price: NA
Overall Rank:
702nd fastest in multithreading out of 4854 CPUs203rd fastest in single threading out of 4854 CPUs139th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
18708 Single Thread Rating
3674
 Samples: 14*
					
					*Margin for error: Medium


+ Compare"
"AMD Ryzen 7 7730U(27%)18,651NA","AMD Ryzen 7 7730U


Description: with Radeon Graphics


Class: Laptop
Socket: FP6
Clockspeed: 2.0 GHzTurbo Speed: 4.5 GHzCores: 8 Threads: 16Typical TDP: 15 W
Cache per CPU Package:L1 Instruction Cache: 8 x 32 KBL1 Data Cache: 8 x 32 KBL2 Cache: 8 x 512 KBL3 Cache: 16 MB


Other names: AMD Ryzen 7 7730U with Radeon Graphics
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: NA
Overall Rank:
706th fastest in multithreading out of 4854 CPUs470th fastest in single threading out of 4854 CPUs140th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
18651 Single Thread Rating
3067
 Samples: 523*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 5 PRO 8540U(27%)18,486NA","AMD Ryzen 5 PRO 8540U


Description: w/ Radeon 740M Graphics


Class: Desktop, Laptop, Mobile/Embedded
Socket: FP7 FP7r2
Clockspeed: 4.9 GHzTurbo Speed: 3.2 GHzCores: 6 Threads: 12Typical TDP: 28 WTDP Down: 15 WTDP Up: 30 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 32 KBL2 Cache: 6 x 1024 KBL3 Cache: 16 MB


Other names: AMD Ryzen 5 PRO 8540U w/ Radeon 740M Graphics
CPU First Seen on Charts: Q2 2024
CPUmark/$Price: NA
Overall Rank:
714th fastest in multithreading out of 4854 CPUs226th fastest in single threading out of 4854 CPUs236th fastest in out of 1382 Desktop CPUs142nd fastest in out of 1421 Laptop CPUs27th fastest in out of 1021 Mobile/Embedded CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
18486 Single Thread Rating
3602
 Samples: 18*
					
					*Margin for error: Medium


+ Compare"
"Intel Core i5-13420H(27%)18,480$342.00*","Intel Core i5-13420H


Description: Intel UHD Graphics for 13th Gen Intel Processors


Class: Laptop
Socket: FCBGA1744


Total Cores: 8 Cores, 12 Threads
Performance Cores: 4 Cores, 8 Threads, 2.1 GHz Base, 4.6 GHz Turbo
Efficient Cores: 4 Cores, 4 Threads, 1.5 GHz Base, 3.4 GHz Turbo

Typical TDP: 45 WTDP Down: 35 WTDP Up: 95 W
Cache per CPU Package:L1 Instruction Cache: 4 x 32 KBL1 Data Cache: 4 x 48 KBL2 Cache: 4 x 1280 KBL3 Cache: 12 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 4 x 64 KBEff. L1 Data Cache: 4 x 32 KBEff. L2 Cache: 1 x 2048 KB
Memory Support: Max. Memory Size: 64 GB (Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 5200 MT)


Other names: 13th Gen Intel(R) Core(TM) i5-13420H, 13th Gen Intel Core i5-13420H
CPU First Seen on Charts: Q2 2023
CPUmark/$Price: 54.04
Overall Rank:
715th fastest in multithreading out of 4854 CPUs283rd fastest in single threading out of 4854 CPUs143rd fastest in out of 1421 Laptop CPUs 
Last Price Change: $342.00 USD (2023-01-01)




Average CPU Mark


Multithread Rating
18480 Single Thread Rating
3460
 Samples: 351*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 5 7535HS(27%)18,394NA","AMD Ryzen 5 7535HS


Description: AMD Radeon 660M


Class: Laptop
Socket: FP7
Clockspeed: 3.3 GHzTurbo Speed: 4.6 GHzCores: 6 Threads: 12Typical TDP: 35 WTDP Up: 54 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 32 KBL2 Cache: 6 x 512 KBL3 Cache: 16 MB


Other names: AMD Ryzen 5 7535HS with Radeon Graphics
CPU First Seen on Charts: Q2 2023
CPUmark/$Price: NA
Overall Rank:
719th fastest in multithreading out of 4854 CPUs432nd fastest in single threading out of 4854 CPUs145th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
18394 Single Thread Rating
3162
 Samples: 350*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 5 8540U(27%)18,147NA","AMD Ryzen 5 8540U


Description: w/ Radeon 740M Graphics


Class: Desktop, Laptop
Socket: FP7 FP7r2
Clockspeed: 3.2 GHzTurbo Speed: 4.9 GHzCores: 6 Threads: 12Typical TDP: 28 WTDP Down: 15 WTDP Up: 30 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 32 KBL2 Cache: 6 x 1024 KBL3 Cache: 16 MB


Other names: AMD Ryzen 5 8540U w/ Radeon 740M Graphics
CPU First Seen on Charts: Q2 2024
CPUmark/$Price: NA
Overall Rank:
732nd fastest in multithreading out of 4854 CPUs206th fastest in single threading out of 4854 CPUs242nd fastest in out of 1382 Desktop CPUs150th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
18147 Single Thread Rating
3665
 Samples: 12*
					
					*Margin for error: Medium


+ Compare"
"AMD Ryzen 5 PRO 7540U(27%)18,071NA","AMD Ryzen 5 PRO 7540U


Description: w/ Radeon 740M Graphics


Class: Laptop
Socket: FP7 FP7r2
Clockspeed: 3.2 GHzTurbo Speed: 4.9 GHzCores: 6 Threads: 12Typical TDP: 30 WTDP Down: 15 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 32 KBL2 Cache: 6 x 1024 KBL3 Cache: 16 MB


Other names: AMD Ryzen 5 PRO 7540U w/ Radeon 740M Graphics
CPU First Seen on Charts: Q3 2023
CPUmark/$Price: NA
Overall Rank:
736th fastest in multithreading out of 4854 CPUs247th fastest in single threading out of 4854 CPUs151st fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
18071 Single Thread Rating
3538
 Samples: 53*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 5 Pro 7535U(26%)17,720NA","AMD Ryzen 5 Pro 7535U


Description: AMD Radeon 660M


Class: Laptop
Socket: FP7
Clockspeed: 2.9 GHzTurbo Speed: 4.6 GHzCores: 6 Threads: 12Typical TDP: 28 WTDP Down: 15 WTDP Up: 30 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 32 KBL2 Cache: 6 x 512 KBL3 Cache: 16 MB


Other names: AMD Ryzen 5 Pro 7535U with Radeon Graphics
CPU First Seen on Charts: Q1 2024
CPUmark/$Price: NA
Overall Rank:
749th fastest in multithreading out of 4854 CPUs368th fastest in single threading out of 4854 CPUs152nd fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
17720 Single Thread Rating
3283
 Samples: 78*
					
					*Margin for error: Low


+ Compare"
"Intel Core Ultra 5 125U(26%)17,706$363.00*","Intel Core Ultra 5 125U


Description: Intel Graphics


Class: Laptop
Socket: FCBGA2049


Total Cores: 12 Cores, 14 Threads
Performance Cores: 2 Cores, 4 Threads, 1.3 GHz Base, 4.3 GHz Turbo
Efficient Cores: 10 Cores, 10 Threads, 0.8 GHz Base, 3.6 GHz Turbo

Typical TDP: 15 WTDP Down: 12 WTDP Up: 57 W
Cache per CPU Package:L1 Instruction Cache: 4 x 32 KBL1 Data Cache: 1 x 64 KBL2 Cache: 1 x 2048 KBL3 Cache: 12 MB
Memory Support: Max. Memory Size: 96 GB (Up to LPDDR5/x 7467 MT/s Up to DDR5 5600 MT/s)


Other names: Intel(R) CoreTM Ultra 5 125U, Intel(R) Core(TM) Ultra 5 125U, Intel Core Ultra 5 125U
CPU First Seen on Charts: Q1 2024
CPUmark/$Price: 48.78
Overall Rank:
750th fastest in multithreading out of 4854 CPUs323rd fastest in single threading out of 4854 CPUs153rd fastest in out of 1421 Laptop CPUs 
Last Price Change: $363.00 USD (2023-10-01)




Average CPU Mark


Multithread Rating
17706 Single Thread Rating
3366
 Samples: 114*
					
					*Margin for error: Low


+ Compare"
"Intel Core Ultra 5 135U(26%)17,701NA","Intel Core Ultra 5 135U


Description: Intel Graphics


Class: Laptop
Socket: 


Total Cores: 12 Cores, 14 Threads
Performance Cores: 2 Cores, 4 Threads, 1.6 GHz Base, 4.4 GHz Turbo
Efficient Cores: 10 Cores, 10 Threads, 3.6 GHz Base, 3.6 GHz Turbo

Typical TDP: 28 WTDP Down: 12 WTDP Up: 57 W
Cache per CPU Package:L1 Instruction Cache: 2 x 64 KBL1 Data Cache: 2 x 48 KBL2 Cache: 5 x 2048 KBL3 Cache: 12 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 10 x 64 KBEff. L1 Data Cache: 10 x 32 KB
Memory Support: Max. Memory Size: 96 GB (Up to LPDDR5/x 7467 MT/s Up to DDR5 5600 MT/s)


Other names: Intel(R) CoreTM Ultra 5 135U, Intel(R) Core(TM) Ultra 5 135U, Intel Core Ultra 5 135U
CPU First Seen on Charts: Q1 2024
CPUmark/$Price: NA
Overall Rank:
751st fastest in multithreading out of 4854 CPUs324th fastest in single threading out of 4854 CPUs154th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
17701 Single Thread Rating
3362
 Samples: 127*
					
					*Margin for error: Low


+ Compare"
