Laptop Name,Link
"Dell Inspiron 5410 2-in-1
Processor
Intel Core i5-1135G7
Internal memory
8GB RAM
Video card
NVIDIA GeForce MX350
Display
14.0”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹6369400
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/dell-inspiron-5410-2-in-1-5/
"Lenovo IdeaPad 5 15
Processor
AMD Ryzen 7 5700U
Internal memory
16GB RAM
Video card
AMD Radeon RX Vega 7 (R4000/5000, 15W)
Display
15.6”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹124490-41%
₹7389900
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/lenovo-ideapad-5-15-201/
"Dell G5 5500
Processor
Intel Core i5-10300H
Internal memory
8GB RAM
Video card
NVIDIA GeForce GTX 1650 Ti (Laptop)
Display
15.6”, Full HD (1920 x 1080), 120 Hz, IPS
Solid-state drive
512GB SSD
₹98500-29%
₹7089000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/dell-g5-5500-267/
"Dell Inspiron 3511
Processor
Intel Core i3-1115G4
Internal memory
8GB RAM
Video card
Intel UHD Graphics Xe G4 (48EU)
Display
15.6”, Full HD (1920 x 1080), IPS
Solid-state drive
256GB SSD
₹56776-24%
₹4349000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/dell-inspiron-3511-668/
"HP 15
Processor
AMD Ryzen 5 4500U
Internal memory
8GB RAM
Video card
AMD Radeon RX Vega 6 (R4000/5000, 15W)
Display
15.6”, HD (1366 x 768), TN
Solid-state drive
256GB SSD
₹49120-7%
₹4599000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/hp-15-9313/
"MSI GP65 Leopard 10Sx
Processor
Intel Core i7-10750H
Internal memory
32GB RAM
Video card
NVIDIA GeForce RTX 2070 (Laptop)
Display
15.6”, Full HD (1920 x 1080), 144 Hz, IPS
Hard drive
1000GB HDD
Solid-state drive
512GB SSD
₹173990-11%
₹15609000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/msi-gp65-leopard-10sx-21/
"Lenovo IdeaPad 3 15 Gaming
Processor
AMD Ryzen 7 4800H
Internal memory
8GB RAM
Video card
NVIDIA GeForce GTX 1650 (Laptop, 50W)
Display
15.6”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹89490-9%
₹8200000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/lenovo-ideapad-3-15-gaming-118/
"ASUS ROG Zephyrus M16 GU603
Processor
Intel Core i7-11800H
Internal memory
16GB RAM
Video card
NVIDIA GeForce RTX 3050 Ti (Laptop, 75W)
Display
16.0″, WUXGA (1920 x 1200), 144 Hz, IPS
Solid-state drive
1000GB SSD
₹194990-29%
₹13999000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/asus-rog-zephyrus-m16-gu603-15/
"Acer Aspire 3
Processor
Intel Core i3-1115G4
Internal memory
8GB RAM
Video card
Intel UHD Graphics Xe G4 (48EU)
Display
15.6”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹49999-15%
₹4289000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/acer-aspire-3-570/
"Lenovo IdeaPad 5 15
Processor
Intel Core i5-1135G7
Internal memory
16GB RAM
Video card
NVIDIA GeForce MX450 (GDDR6, 25W / 28.5W)
Display
15.6”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹103233-29%
₹7430000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/lenovo-ideapad-5-15-206/
"Dell G3 3500
Processor
Intel Core i7-10750H
Internal memory
8GB RAM
Video card
NVIDIA GeForce GTX 1650 (Laptop)
Display
15.6”, Full HD (1920 x 1080), 120 Hz, IPS
Solid-state drive
512GB SSD
₹93971-12%
₹8299000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/dell-g3-3500-118/
"Dell Inspiron 3515
Processor
AMD Ryzen 3 3250U
Internal memory
8GB RAM
Video card
AMD Radeon RX Vega 3
Display
15.6”, Full HD (1920 x 1080), IPS
Solid-state drive
256GB SSD
₹53603-23%
₹4174900
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/dell-inspiron-3515-9/
"HP Pavilion 14
Processor
AMD Ryzen 5 5500U
Internal memory
8GB RAM
Video card
AMD Radeon RX Vega 7 (R4000/5000, 15W)
Display
14.0”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹67931-24%
₹5200000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/hp-pavilion-14-86/
"MSI GF65 Thin
Processor
Intel Core i7-10750H
Internal memory
16GB RAM
Video card
NVIDIA GeForce RTX 2060 (Laptop)
Display
15.6”, Full HD (1920 x 1080), 144 Hz, IPS
Solid-state drive
512GB SSD
₹102990-13%
₹8999000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/msi-gf65-thin-10ser-1049fr/
"Acer Aspire 3
Processor
Intel Core i5-1035G1
Internal memory
8GB RAM
Video card
NVIDIA GeForce MX330 (2GB GDDR5, 25W)
Display
15.6”, Full HD (1920 x 1080), TN
Hard drive
1000GB HDD
₹56491-12%
₹4974500
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/acer-aspire-3-262/
